origem,destino,tipo,peso_sugerido,numero_issue
yonaskolb,brevansio,issue,2,1089
0xDmitry,brevansio,issue,2,1089
artyom-stv,brevansio,issue,2,1089
0xDmitry,brevansio,issue,2,1089
freddi-kit,brevansio,issue,2,1089
yonaskolb,daltonclaybrook,pr,2,1087
freddi-kit,platysma,pr,2,1085
yonaskolb,elliottwilliams,pr,2,1081
FranzBusch,elliottwilliams,pr,2,1081
yonaskolb,elliottwilliams,pr,2,1081
yonaskolb,DavidWoohyunLee,pr,2,1080
subdigital,totidev,issue,2,1079
freddi-kit,totidev,issue,2,1079
subdigital,totidev,issue,2,1079
freddi-kit,totidev,issue,2,1079
freddi-kit,totidev,issue,2,1079
yonaskolb,DavidWoohyunLee,pr,2,1078
yonaskolb,DavidWoohyunLee,issue,2,1077
yonaskolb,DavidWoohyunLee,issue,2,1077
stefanomondino,DavidWoohyunLee,issue,2,1077
yonaskolb,DavidWoohyunLee,issue,2,1077
yonaskolb,DavidWoohyunLee,issue,2,1077
hsncr,DavidWoohyunLee,issue,2,1077
kateinoigakukun,freddi-kit,pr,2,1074
mthole,freddi-kit,pr,2,1074
razor313,freddi-kit,pr,2,1074
dehlen,freddi-kit,pr,2,1074
jakeheis,freddi-kit,pr,2,1074
mthole,freddi-kit,pr,2,1074
razor313,freddi-kit,pr,2,1074
skofgar,freddi-kit,pr,2,1074
ghost,freddi-kit,pr,2,1074
fousa,freddi-kit,pr,2,1074
yonaskolb,multitudes,issue,2,1071
yonaskolb,yanamura,pr,2,1066
yonaskolb,yanamura,pr,2,1066
freddi-kit,yanamura,pr,2,1065
yonaskolb,yanamura,pr,2,1065
yonaskolb,swiftty,pr,2,1062
freddi-kit,4brunu,issue,2,1061
freddi-kit,4brunu,issue,2,1061
freddi-kit,4brunu,issue,2,1061
yonaskolb,simonpierreroy,issue,2,1060
liamnichols,dalemyers,pr,2,1059
liamnichols,dalemyers,pr,2,1059
yonaskolb,dalemyers,pr,2,1059
freddi-kit,elliottwilliams,pr,2,1057
freddi-kit,elliottwilliams,pr,2,1057
freddi-kit,yevgenPaykey,issue,2,1056
freddi-kit,yevgenPaykey,issue,2,1056
freddi-kit,yevgenPaykey,issue,2,1056
freddi-kit,yevgenPaykey,issue,2,1056
freddi-kit,yevgenPaykey,issue,2,1056
freddi-kit,yevgenPaykey,issue,2,1056
freddi-kit,yevgenPaykey,issue,2,1056
freddi-kit,yevgenPaykey,issue,2,1056
freddi-kit,yevgenPaykey,issue,2,1056
freddi-kit,yevgenPaykey,issue,2,1056
freddi-kit,yevgenPaykey,issue,2,1056
freddi-kit,yevgenPaykey,issue,2,1056
yonaskolb,mrtsamma,issue,2,1055
liamnichols,mrtsamma,issue,2,1055
smaljaar,mrtsamma,issue,2,1055
honkmaster,mrtsamma,issue,2,1055
smaljaar,mrtsamma,issue,2,1055
honkmaster,mrtsamma,issue,2,1055
liamnichols,mrtsamma,issue,2,1055
liamnichols,mrtsamma,issue,2,1055
yonaskolb,mrtsamma,issue,2,1055
diegolechado,brandtdaniels,issue,2,1053
misyobun,brandtdaniels,issue,2,1053
stefanengel,brandtdaniels,issue,2,1053
lozhuf,brandtdaniels,issue,2,1053
yonaskolb,brandtdaniels,issue,2,1053
freddi-kit,BeerPoldet,issue,2,1050
freddi-kit,BeerPoldet,issue,2,1050
freddi-kit,BeerPoldet,issue,2,1050
